name,number_groups,login,email,academic_degree, ear,  Groups,password
master1, В7897,master1@lp.com,master1@lp.com,master,2023,Learning projects / Master,admin
master2, В7898,master2@lp.com,master2@lp.com,master,2023,Learning projects / Master,admin
master3, В7899,master3@lp.com,master3@lp.com,master,2023,Learning projects / Master,admin
master4, В7900,master4@lp.com,master4@lp.com,master,2023,Learning projects / Master,admin
master5, В7901,master5@lp.com,master5@lp.com,master,2023,Learning projects / Master,admin
master6, В7902,master6@lp.com,master6@lp.com,master,2023,Learning projects / Master,admin
bachelor1, В7903,bachelor1@lp.com,bachelor1@lp.com,bachelor,2023,Learning projects / Bachelor,admin
bachelor2, В7904,bachelor2@lp.com,bachelor2@lp.com,bachelor,2023,Learning projects / Bachelor,admin
bachelor3, В7905,bachelor3@lp.com,bachelor3@lp.com,bachelor,2023,Learning projects / Bachelor,admin
bachelor4, В7906,bachelor4@lp.com,bachelor4@lp.com,bachelor,2023,Learning projects / Bachelor,admin
bachelor5, В7907,bachelor5@lp.com,bachelor5@lp.com,bachelor,2023,Learning projects / Bachelor,admin
bachelor6, В7908,bachelor6@lp.com,bachelor6@lp.com,bachelor,2023,Learning projects / Bachelor,admin
lecturer1,,lecturer1@lp.com,lecturer1@lp.com,,2023,Learning projects / Lecturer,admin
lecturer2,,lecturer2@lp.com,lecturer2@lp.com,,2023,Learning projects / Lecturer,admin
lecturer3,,lecturer3@lp.com,lecturer3@lp.com,,2023,Learning projects / Lecturer,admin
lecturer4,,lecturer4@lp.com,lecturer4@lp.com,,2023,Learning projects / Lecturer,admin
lecturer5,,lecturer5@lp.com,lecturer5@lp.com,,2023,Learning projects / Lecturer,admin
lecturer6,,lecturer6@lp.com,lecturer6@lp.com,,2023,Learning projects / Lecturer,admin
admin1,,admin1@lp.com,admin1@lp.com,,2023,Learning projects / Admin,admin
admin2,,admin2@lp.com,admin2@lp.com,,2023,Learning projects / Admin,admin
admin3,,admin3@lp.com,admin3@lp.com,,2023,Learning projects / Admin,admin
admin4,,admin4@lp.com,admin4@lp.com,,2023,Learning projects / Admin,admin
admin5,,admin5@lp.com,admin5@lp.com,,2023,Learning projects / Admin,admin
admin6,,admin6@lp.com,admin6@lp.com,,2023,Learning projects / Admin,admin
